"center","id","YNEA1","YNEA2","YNEA3","YNEA4","YNEA5","YNEA6","YNEA7","YNEA8","YNEA9","YNEA10","YNEA11","YNEA12","YNEA13","YNEA14","YNEA15","YNEA16","YNEA17","YNEA18","YNEA19","YNEA20","YNEA21","visit"
"EA","EA41047","2","2","3","0","0","0","3","3","3","3","0","0","0","2","3","2","2","0","3","3","3",18
"EA","EA41051","3","3","3","3","0","0","3","3","3","3","0","0","0","3","3","3","3","0","3","3","3",18
"EA","EA41079","2","2","2","0","0","0","2","2","2","2","0","0","0","2","2","3","2","2","2","1","1",18
"EA","EA41084","1","1","1","2","0","0","3","1","1","2","0","0","0","2","2","2","1","0","2","3","3",18
"EA","EA41096","1","2","2","1","0","0","3","2","2","2","0","0","0","0","2","2","1","1","2","2","2",18
"EA","EA41111","3","3","3","0","0","0","3","3","3","3","0","0","0","3","3","3",,"0","3","3","3",18
"EA","EA41124","3","3","3","0","0","0","3","3","3","3","0","0","0","3","3","3","3","0","3","0","0",18
"EA","EA41152","2","0","2","0","0","0","0","2","2","2","0","0","0","2","2","2","0","0","2","3","3",18
"EA","EA41178","1","2","2","0","0","0","3","3","3","2","0","0","0","3","3","3","3","0","3","3","3",18
"EA","EA41195","2","2","1","0","0","0","3","2","2","2","0","0","0","2","2","3","2","0","3","3","3",18
"EA","EA41207","2","2","1","0","1","1","3","3","3","3","0","0","0","0","2","3","3","0","2","3","2",18
"EA","EA41242","3","3","3","3","2","2","2","2","3","3","0","0","0","0","3","3","3","0","0","0","0",18
"EA","EA41274","2","2","2","0","0","0","2","2","2","2","1","1","0","2","2","2","2","0","2","3","3",18
"EA","EA41289","3","3","3","0","0","0","3","2","3","3","0","0","1","3","3","3","3","0","3","3","3",18
"EA","EA41325","2","2","2","1","1","1","2","2","2","2","1","1","0","2","2","2","2","1","2","2","2",18
"EA","EA41333","3","3","3","3","3","3","3","3","3","3","0","0","0","3","3","3","3","0","3","3","3",18
"EA","EA41361","2","2","2","1","1","1","3","1","2","2","1","1","1","2","1","3","2","1","3","3","3",18
"EA","EA41372","2","2","2","0","0","0","3","3","3","3","0","0","0","3","3","3","3","0","3","3","3",18
"EA","EA41386","0","3","1","0","0","0","3","3","3","3","0","0","1","3","3","3","3","1","2","3","3",18
