"center","id","SSQC11","visit","SSQC1","SSQC2","SSQC3","SSQC4","SSQC5","SSQC6","SSQC7","SSQC8","SSQC9","SSQC10","SSQC12"
"SO","SO11794","BBN",16,3,5,3,5,5,5,5,5,1,5,3/15/2003
"SO","SO11819","MEL",16,5,5,5,5,5,5,5,5,5,5,4/15/2003
"SO","SO11870","MEL",16,5,5,5,5,5,5,5,3,3,5,4/15/2003
"SO","SO11888","BBN",16,4,4,3,5,2,4,5,5,3,5,6/15/2003
"SO","SO11903","DJL",16,5,1,5,5,2,5,5,5,5,5,5/15/2003
"SO","SO11911","BBN",16,4,4,3,3,4,4,3,5,4,4,3/15/2003
"SO","SO11924","BBN",16,5,5,5,5,5,5,5,5,5,5,4/15/2003
"SO","SO11952","BBN",16,5,5,3,5,5,5,5,3,3,3,4/15/2003
"SO","SO11978","ABW",16,4,4,,4,4,4,5,5,2,5,3/15/2003
"SO","SO11980","DJL",16,3,3,3,4,3,3,4,4,4,4,5/15/2003
"SO","SO12013","MEL",16,4,5,4,5,5,5,5,3,3,4,5/15/2003
"SO","SO12021","ABW",16,3,2,2,3,3,2,4,5,5,5,3/15/2003
"SO","SO12037","BBN",16,4,5,5,5,5,5,5,5,4,5,9/15/2003
"SO","SO12076","ABW",16,4,4,4,5,5,4,5,4,4,4,2/15/2003
"SO","SO12082","BBN",16,2,3,4,4,4,5,5,5,4,5,6/15/2003
"SO","SO12098","ABW",16,3,4,4,4,,4,4,4,4,3,3/15/2003
"SO","SO12122","BBN",16,5,5,4,5,5,5,5,5,4,3,3/15/2004
"SO","SO12150","BBN",16,5,2,4,4,4,4,5,4,1,3,3/15/2003
"SO","SO12169","MEL",16,4,3,3,5,3,4,4,4,3,5,6/15/2003
"SO","SO12175","BBN",16,5,5,3,5,5,5,5,5,3,5,2/15/2003
"SO","SO12197","BBN",16,5,5,3,5,4,5,5,4,5,5,8/15/2003
"SO","SO12261","MEL",16,1,5,5,5,5,5,5,5,5,5,6/15/2003
"SO","SO12272","DJL",16,3,3,1,5,3,3,5,5,5,2,5/15/2003
"SO","SO12286","ABW",16,3,4,2,4,4,3,5,5,5,4,3/15/2003
